ts,app,node,pg,inst
19:13:10.935,1,2,15,0
19:13:11.352,1,2,15,0
19:13:11.792,1,2,15,0
19:13:12.206,1,2,15,0
19:13:12.625,1,2,15,0
19:13:13.063,1,2,15,0
19:13:13.497,1,2,15,0
19:13:13.920,1,2,15,0
19:13:14.331,1,2,15,0
19:13:14.759,1,2,15,0
19:13:15.187,1,2,15,0
19:13:15.617,1,2,15,0
19:13:16.031,1,2,15,0
19:13:16.458,1,2,15,0
19:13:16.889,1,2,15,0
19:13:17.326,1,2,15,0
19:13:17.737,1,2,15,0
19:13:18.150,1,2,15,0
19:13:18.577,1,2,15,0
19:13:19.000,1,2,15,0
19:13:19.422,1,2,15,0
19:13:19.843,1,2,15,0
19:13:20.281,1,2,15,0
19:13:20.722,1,2,15,0
19:13:21.155,1,2,15,0
19:13:21.578,1,2,15,0
19:13:21.993,1,2,15,0
19:13:22.424,1,2,15,0
19:13:22.856,1,2,15,0
19:13:23.286,1,2,15,0
19:13:23.706,1,2,15,0
19:13:24.137,1,2,15,0
19:13:24.546,1,2,15,0
19:13:24.959,1,2,15,0
19:13:25.375,1,2,15,0
19:13:25.805,1,2,15,0
19:13:26.233,1,2,15,0
19:13:26.670,1,2,15,0
19:13:27.082,1,2,15,0
19:13:27.506,1,2,15,0
19:13:27.935,1,2,15,0
19:13:28.347,1,2,15,0
19:13:28.767,1,2,15,0
19:13:29.187,1,2,15,0
19:13:29.624,1,2,15,0
19:13:30.048,1,2,15,0
19:13:30.470,1,2,15,0
19:13:30.893,1,2,15,0
19:13:31.335,1,2,15,0
19:13:31.753,1,2,15,0
19:13:32.193,1,2,15,0
19:13:32.609,1,2,15,0
19:13:33.028,1,2,15,0
19:13:33.464,1,2,15,0
19:13:33.884,1,2,15,0
19:13:34.300,1,2,15,0
19:13:34.718,1,2,15,0
19:13:35.170,1,2,15,0
19:13:35.577,1,2,15,0
19:13:35.990,1,2,15,0
19:13:36.409,1,2,15,0
19:13:36.845,1,2,15,0
19:13:37.274,1,2,15,0
19:13:37.698,1,2,15,0
19:13:38.107,1,2,15,0
19:13:38.531,1,2,15,0
19:13:38.962,1,2,15,0
19:13:39.380,1,2,15,0
19:13:39.798,1,2,15,0
19:13:40.216,1,2,15,0
19:13:40.635,1,2,15,0
19:13:41.047,1,2,15,0
19:13:41.473,1,2,15,0
19:13:41.894,1,2,15,0
19:13:42.332,1,2,15,0
19:13:42.765,1,2,15,0
19:13:43.193,1,2,15,0
19:13:43.611,1,2,15,0
19:13:44.049,1,2,15,0
19:13:44.487,1,2,15,0
19:13:44.912,1,2,15,0
19:13:45.333,1,2,15,0
19:13:45.749,1,2,15,0
19:13:46.158,1,2,15,0
19:13:46.581,1,2,15,0
19:13:46.999,1,2,15,0
19:13:47.418,1,2,15,0
19:13:47.858,1,2,15,0
19:13:48.276,1,2,15,0
19:13:48.687,1,2,15,0
19:13:49.112,1,2,15,0
19:13:49.550,1,2,15,0
19:13:49.982,1,2,15,0
19:13:50.421,1,2,15,0
19:13:50.844,1,2,15,0
19:13:51.264,1,2,15,0
19:13:51.672,1,2,15,0
19:13:52.105,1,2,15,0
19:13:52.518,1,2,15,0
19:13:52.937,1,2,15,0
19:13:53.356,1,2,15,0
19:13:53.776,1,2,15,0
19:13:54.187,1,2,15,0
19:13:54.592,1,2,15,0
19:13:55.016,1,2,15,0
19:13:55.450,1,2,15,0
19:13:55.866,1,2,15,0
19:13:56.286,1,2,15,0
19:13:56.711,1,2,15,0
19:13:57.127,1,2,15,0
19:13:57.549,1,2,15,0
19:13:57.970,1,2,15,0
19:13:58.403,1,2,15,0
19:13:58.840,1,2,15,0
19:13:59.252,1,2,15,0
19:13:59.672,1,2,15,0
19:14:00.102,1,2,15,0
19:14:00.524,1,2,15,0
19:14:00.939,1,2,15,0
19:14:01.364,1,2,15,0
19:14:01.792,1,2,15,0
19:14:02.218,1,2,15,0
19:14:02.642,1,2,15,0
19:14:03.061,1,2,15,0
19:14:03.465,1,2,15,0
19:14:03.887,1,2,15,0
19:14:04.304,1,2,15,0
19:14:04.722,1,2,15,0
19:14:05.138,1,2,15,0
19:14:05.561,1,2,15,0
19:14:05.999,1,2,15,0
19:14:06.424,1,2,15,0
19:14:06.841,1,2,15,0
19:14:07.266,1,2,15,0
19:14:07.704,1,2,15,0
19:14:08.124,1,2,15,0
19:14:08.549,1,2,15,0
19:14:08.979,1,2,15,0
19:14:09.400,1,2,15,0
